STO DATABASE;BRANCH DATABASE;REGION SAP;AREA DATABASE;INCIDENT;TTR CUSTOMER;SUMMARY;REPORTED DATE;OWNER GROUP;OWNER;CUSTOMER SEGMENT;SERVICE TYPE;WITEL;WORKZONE;STATUS;STATUS DATE;TICKET ID GAMAS;REPORTED BY;CONTACT PHONE;CONTACT NAME;CONTACT EMAIL;BOOKING DATE;DESCRIPTION ASSIGMENT;REPORTED PRIORITY;SOURCE TICKET;SUBSIDIARY;EXTERNAL TICKET ID;CHANNEL;CUSTOMER TYPE;CLOSED BY;CLOSED / REOPEN by;CUSTOMER ID;CUSTOMER NAME;SERVICE ID;SERVICE NO;SLG;TECHNOLOGY;LAPUL;GAUL;ONU RX;PENDING REASON;DATEMODIFIED;INCIDENT DOMAIN;REGION;SYMPTOM;HIERARCHY PATH;SOLUTION;DESCRIPTION ACTUAL SOLUTION;KODE PRODUK;PERANGKAT;TECHNICIAN;DEVICE NAME;WORKLOG SUMMARY;LAST UPDATE WORKLOG;CLASSIFICATION FLAG;REALM;RELATED TO GAMAS;TSC RESULT;SCC RESULT;TTR AGENT;TTR MITRA;TTR NASIONAL;TTR PENDING;TTR REGION;TTR WITEL;TTR END TO END;NOTE;GUARANTE STATUS;RESOLVE DATE;SN ONT;TIPE ONT;MANUFACTURE ONT;IMPACTED SITE;CAUSE;RESOLUTION;NOTES ESKALASI;RK INFORMATION;EXTERNAL TICKET TIER 3;CUSTOMER CATEGORY;CLASSIFICATION PATH;TERITORY NEAR END;TERITORY FAR END;URGENCY;URGENCY DESCRIPTION
CIW;TASIKMALAYA;JABAR;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[PTK323];;;;;;;;;;;
CKJ;TASIKMALAYA;JABAR;AREA 2;INC47693384;03.20.43;TSEL_METRO_PKR178_PERKANTORAN_BUPATI_PELALAWAN_GPON00-D1-PKR-2_LOW_DOWN_REGTSEL10;31/03/26 16.12;TIF ASR NON FBB DISTRICT PEKANBARU;;DWS;SITE;RIDAR;PKR;BACKEND;31/03/26 16.25;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;IM-20260331-00002531;56;;;;C3700008;TELEKOMUNIKASI SELULAR;PKR178;PKR178;;;;1;;;31/03/26 19.33;;REG-1;null | TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;16901601;;Update : Tim lanjut perjalanan kelokasi estimasi +- 1,5 jam;2026-03-31 18:21:20.782;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.01.45;00.00.00;00.00.00;00.00.00;03.20.43;;;;;;;Jumlah Site:1;;;;;;;C_CONN_TSEL_001_001_001;;;2;Normal
CMS;TASIKMALAYA;JABAR;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:1NE;;;;;;;;;;;
CSP;TASIKMALAYA;JABAR;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:1NE;;;;;;;;;;;
GRU;TASIKMALAYA;JABAR;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:1NE;;;;;;;;;;;
KAW;TASIKMALAYA;JABAR;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
KDN;TASIKMALAYA;JABAR;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[PKR178];;;;;;;;;;;
KNU;TASIKMALAYA;JABAR;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAG;TASIKMALAYA;JABAR;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
MLB;TASIKMALAYA;JABAR;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site Berbilling : 1;;;;;;;;;;;
MNJ;TASIKMALAYA;JABAR;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PKR178;;;;;;;;;;;
PAX;TASIKMALAYA;JABAR;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site OA Non Billing : 0;;;;;;;;;;;
PMP;TASIKMALAYA;JABAR;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJP;TASIKMALAYA;JABAR;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non Berbilling : 0;;;;;;;;;;;
SPA;TASIKMALAYA;JABAR;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TSM;TASIKMALAYA;JABAR;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Take Out/Beda route: 5;;;;;;;;;;;
WNR;TASIKMALAYA;JABAR;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PBR384;;;;;;;;;;;
GOM;MAGELANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SSI560;;;;;;;;;;;
KAK;MAGELANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SSI556;;;;;;;;;;;
KBM;MAGELANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SSI955;;;;;;;;;;;
KTA;MAGELANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SSI021;;;;;;;;;;;
KTW;MAGELANG;JATENG-DIY;AREA 3;INC47693375;03.21.41;TSEL_METRO_SKG014_DMT_KEERA_1K_MINOR_DOWN_REGTSEL9;31/03/26 16.11;TIF ASR NON FBB DISTRICT BONE;;DWS;SITE;SULSELBAR;SIW;BACKEND;31/03/26 17.39;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;IM-20260331-00002526;56;;;;C3700008;TELEKOMUNIKASI SELULAR;SKG220;SKG220;;;;0;;;31/03/26 19.33;;REG-7;null | TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;16982887;;LOS;2026-03-31 17:29:57.86;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.03.30;00.00.00;00.00.00;00.00.00;03.21.41;;;;;;;Jumlah Site:2;;;;;;;C_CONN_TSEL_001_001_001;;;3;Medium
MGE;MAGELANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:2NE;;;;;;;;;;;
MNK;MAGELANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:2NE;;;;;;;;;;;
MTY;MAGELANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:2NE;;;;;;;;;;;
MUN;MAGELANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
PRN;MAGELANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[SKG014,SKG220];;;;;;;;;;;
PWJ;MAGELANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SEC;MAGELANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
SWT;MAGELANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SKG014 BILLING Metro-E;;;;;;;;;;;
TEM;MAGELANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SKG220 BILLING Radio IP;;;;;;;;;;;
ADW;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;takeout>bedacase;;;;;;;;;;;
BBT;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SLY021 BILLING Metro-E;;;;;;;;;;;
BDY;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BKA;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BLU;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non Berbilling : 1;;;;;;;;;;;
BMU;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SLY043;;;;;;;;;;;
BRB;PEKALONGAN;JATENG-DIY;AREA 3;INC47693374;03.21.45;TSEL_METRO_SKG061_DMT_BALLERE_GPON02-D7-SIW-4_LOW_DOWN_REGTSEL9;31/03/26 16.11;TIF ASR NON FBB DISTRICT BONE;;DWS;SITE;SULSELBAR;SIW;BACKEND;31/03/26 16.36;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;IM-20260331-00002524;56;;;;C3700008;TELEKOMUNIKASI SELULAR;SKG061;SKG061;;;;1;;;31/03/26 19.33;;REG-7;null | TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;16971250;;LOS;2026-03-31 16:29:14.823;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.05.43;00.00.00;00.00.00;00.00.00;03.21.45;;;;;;;Jumlah Site:1;;;;;;;C_CONN_TSEL_001_001_001;;;5;Emergency
BTG;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:1NE;;;;;;;;;;;
CMA;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:1NE;;;;;;;;;;;
KDW;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:1NE;;;;;;;;;;;
KJE;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
KTM;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[SKG061];;;;;;;;;;;
MGN;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PBG;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
PKL;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SKG061 BILLING Metro-E;;;;;;;;;;;
PML;PEKALONGAN;JATENG-DIY;AREA 3;INC47692911;03.39.34;TSEL_METRO_BGE012_LUMBAN_BINANGA_GPON01-D1-BLG-2_LOW_DOWN_REGTSEL1;31/03/26 15.53;TIF ASR NON FBB DISTRICT PEMATANGSIANTAR;18960008;DWS;SITE;SUMUT;BLG;BACKEND;31/03/26 16.44;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;EM-20260331-00000390;56;;;;C3700008;TELEKOMUNIKASI SELULAR;BGE012;BGE012;;;;1;;;31/03/26 19.33;;REG-1;null | TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;25960145;;progres pengemalan jc;2026-03-31 18:18:38.299;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.04.06;00.00.00;00.00.00;00.00.00;03.39.34;;;;;;;Jumlah Site:1;;;;;;;C_CONN_TSEL_001_001_001;BLG;;3;Medium
RDD;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:1NE;;;;;;;;;;;
SBA;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:1NE;;;;;;;;;;;
SLW;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:1NE;;;;;;;;;;;
TEG;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
TTL;PEKALONGAN;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[BGE012];;;;;;;;;;;
AJB;PURWOKERTO;JATENG-DIY;AREA 3;INC47692433;03.51.46;TSEL_METRO_SLK560_NANBALIMO_GPON00-D1-SLK-2_LOW_DOWN_REGTSEL10;31/03/26 15.41;TIF ASR NON FBB DISTRICT PADANG;;DWS;SITE;SUMBAR;SLK;BACKEND;31/03/26 15.56;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;IM-20260331-00002431;56;;;;C3700008;TELEKOMUNIKASI SELULAR;MSJ036;MSJ036;;;;0;;;31/03/26 19.33;;REG-1;null | TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;16964386;;MSJ036 up slk560 LOS;2026-03-31 15:48:47.922;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.05.27;00.00.00;00.00.00;00.00.00;03.51.46;;;;;;;Jumlah Site:1;;;;;;;C_CONN_TSEL_001_001_001;;;2;Normal
BJR;PURWOKERTO;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:1NE;;;;;;;;;;;
BRD;PURWOKERTO;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:1NE;;;;;;;;;;;
BYM;PURWOKERTO;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:1NE;;;;;;;;;;;
CLC;PURWOKERTO;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
CLO;PURWOKERTO;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[SLK560];;;;;;;;;;;
GML;PURWOKERTO;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KLP;PURWOKERTO;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
KRY;PURWOKERTO;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site Berbilling : 1;;;;;;;;;;;
MAN;PURWOKERTO;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SLK560;;;;;;;;;;;
MAO;PURWOKERTO;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site OA Non Billing : 0;;;;;;;;;;;
PWT;PURWOKERTO;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SDJ;PURWOKERTO;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non Berbilling : 0;;;;;;;;;;;
SUK;PURWOKERTO;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WOS;PURWOKERTO;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEDA LINKROUTE;;;;;;;;;;;
ABR;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MSJ036;;;;;;;;;;;
BAN;SEMARANG;JATENG-DIY;AREA 3;INC47692081;04.01.19;TSEL_METRO_OKI018_PT_SELAPAN_JAYA_ME-D1-TGMA_MINOR_DOWN_REGTSEL2;31/03/26 15.31;TIF ASR NON FBB DISTRICT PALEMBANG;;DWS;SITE;SUMSEL;OKI;BACKEND;31/03/26 16.49;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;IM-20260331-00002329;56;;;;C3700008;TELEKOMUNIKASI SELULAR;OKI376;OKI376;;;;1;;;31/03/26 19.33;;REG-1;null | TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;16061000;;OKI018;2026-03-31 16:43:06.691;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.05.06;00.00.00;00.00.00;00.00.00;04.01.19;;;;;;;Jumlah Site:2;;;;;;;C_CONN_TSEL_001_001_001;;;3;Medium
BDN;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:2NE;;;;;;;;;;;
BMK;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:2NE;;;;;;;;;;;
BOJ;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:2NE;;;;;;;;;;;
BWE;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
DMA;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[OKI018,OKI090];;;;;;;;;;;
GNK;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GNP;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OKI018 BILLING Metro-E;;;;;;;;;;;
JHR;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OKI090 BILLING Radio IP;;;;;;;;;;;
JPR;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JWN;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
KDL;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site Berbilling : 2;;;;;;;;;;;
KEL;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OKI018,OKI090;;;;;;;;;;;
KMJ;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non Berbilling : 2;;;;;;;;;;;
KUD;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OKI376,OKI147;;;;;;;;;;;
LSE;SEMARANG;JATENG-DIY;AREA 3;INC47691952;04.03.35;TSEL_FRONTHAUL_EPS385_TO_UPD914_MNPELINDO_GPON08-D7-BAL-4_LOW_DOWN_REGTSEL9;31/03/26 15.29;TIF ASR NON FBB DISTRICT MAKASSAR;;DWS;SITE;MAKASSAR;BAL;BACKEND;31/03/26 16.34;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;EM-20260331-00005305;56;;;;C3700008;TELEKOMUNIKASI SELULAR;UPD914;UPD914;;;;7;;;31/03/26 19.33;;REG-7;null | TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;26980063;;;;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.05.51;00.00.00;00.00.00;00.00.00;04.03.35;;;;;;;Jumlah Site:1;;;;;;;C_CONN_TSEL_001_001_001;BAL;;3;Medium
MJE;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:1NE;;;;;;;;;;;
MJP;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:1NE;;;;;;;;;;;
MKG;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:1NE;;;;;;;;;;;
PAT;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
PEC;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[UPD914];;;;;;;;;;;
RBN;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SKR;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
SLI;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UPD914 BILLING Metro-E;;;;;;;;;;;
SMC;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMT;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSL;SEMARANG;JATENG-DIY;AREA 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
